Year_month;KPC4;KPB8;KPB9;KPB7;KPC5;KPC6;KPC2;KPC3
2008 Jan;15.3;22.5;17.8;14.0;13.4;22.7;24.1;11.9
2008 Feb;16.2;22.5;19.2;15.3;14.8;24.4;25.3;12.7
2008 Mar;16.6;22.6;19.5;15.7;15.0;25.1;25.1;13.3
2008 Apr;17.4;23.6;20.4;16.2;15.4;26.6;26.8;13.9
2008 May;17.7;24.1;20.6;16.7;15.7;27.0;26.5;14.2
2008 Jun;18.5;25.4;21.6;17.1;16.5;29.0;27.5;14.9
2008 Jul;18.5;26.0;21.4;17.4;16.3;28.1;27.2;14.9
2008 Aug;19.2;27.1;22.5;19.3;17.1;29.4;28.0;15.3
2008 Sep;19.8;27.9;23.0;19.2;17.3;30.2;29.1;15.8
2008 Oct;19.6;28.6;22.7;18.5;17.1;29.9;29.2;15.4
2008 Nov;19.8;31.1;23.0;17.3;17.9;31.2;29.2;15.1
2008 Dec;20.9;33.0;24.3;18.3;18.3;32.5;32.2;15.9
2009 Jan;21.1;30.7;24.7;19.7;18.5;30.9;33.6;16.5
2009 Feb;21.6;29.2;25.9;21.3;19.9;32.6;33.6;17.0
2009 Mar;21.6;31.2;25.6;19.0;18.7;33.1;35.6;16.7
2009 Apr;22.3;30.5;25.6;22.0;19.4;31.5;33.5;18.3
2009 May;22.5;33.3;26.6;21.6;20.2;34.9;34.2;17.2
2009 Jun;22.8;32.1;27.0;21.6;21.3;32.7;35.8;17.9
2009 Jul;24.2;34.0;27.6;23.2;20.6;37.1;34.3;19.7
2009 Aug;24.2;33.7;28.8;23.0;21.3;41.3;35.3;18.9
2009 Sep;24.1;33.3;27.8;22.8;22.3;34.4;35.3;19.5
2009 Oct;25.8;34.3;30.9;23.9;22.6;47.3;36.8;20.5
2009 Nov;26.6;32.8;31.8;26.3;22.9;43.1;40.9;21.7
2009 Dec;25.8;33.4;29.4;22.8;24.6;35.2;37.9;21.6
2010 Jan;24.7;36.6;28.2;23.0;25.2;37.4;30.2;19.6
2010 Feb;25.7;42.4;28.9;21.2;22.3;41.6;35.7;19.8
2010 Mar;25.5;40.7;28.2;24.1;24.1;30.4;36.3;20.3
2010 Apr;26.5;44.6;30.0;23.6;25.9;31.0;41.4;20.0
2010 May;27.0;40.6;31.3;26.2;25.6;31.8;44.0;21.0
2010 Jun;26.8;40.3;30.8;24.4;25.1;31.8;44.2;21.1
2010 Jul;28.3;39.5;34.1;24.3;28.5;33.9;51.6;21.9
2010 Aug;29.9;41.0;36.3;23.9;29.2;35.5;58.6;23.1
2010 Sep;29.7;40.7;35.5;25.0;28.8;36.0;54.4;23.3
2010 Oct;30.9;41.2;37.1;25.9;30.0;39.1;56.2;24.5
2010 Nov;31.3;40.7;38.2;28.0;29.9;36.0;61.4;24.5
2010 Dec;31.5;40.6;37.7;27.5;29.5;35.9;60.6;25.2
2011 Jan;32.4;44.2;37.8;28.8;31.0;37.2;56.8;26.1
2011 Feb;31.1;40.4;35.9;25.4;32.2;32.8;53.4;25.8
2011 Mar;31.1;40.7;37.1;27.7;32.7;32.0;56.3;24.9
2011 Apr;31.1;44.1;36.1;27.4;34.0;30.6;51.6;24.9
2011 May;31.6;39.6;36.6;29.5;34.3;28.0;53.4;26.3
2011 Jun;32.6;43.0;36.8;30.1;34.3;30.3;51.7;27.5
2011 Jul;33.4;41.8;37.6;30.2;36.1;31.7;51.1;28.8
2011 Aug;33.8;41.8;37.2;30.7;36.0;30.1;50.6;29.6
2011 Sep;34.8;43.3;38.1;31.1;38.5;30.1;50.4;30.6
2011 Oct;34.6;44.1;37.7;30.8;38.1;28.8;50.7;30.4
2011 Nov;36.2;46.0;36.5;30.3;37.4;28.5;47.2;33.8
2011 Dec;36.0;44.3;38.4;31.4;39.2;31.1;49.6;32.5
2012 Jan;36.3;44.4;39.7;32.2;39.2;37.2;49.5;32.2
2012 Feb;37.3;50.9;40.1;30.9;40.1;38.9;49.4;32.4
2012 Mar;37.1;47.8;40.1;33.2;41.5;37.5;46.6;32.6
2012 Apr;37.8;50.6;41.3;35.0;40.1;39.0;50.6;32.6
2012 May;39.2;51.8;44.1;35.0;41.2;38.9;60.8;33.1
2012 Jun;37.4;47.4;41.0;36.2;39.7;35.4;51.6;32.7
2012 Jul;39.8;51.4;43.5;37.1;45.0;35.0;53.8;34.6
2012 Aug;36.8;50.1;42.7;37.2;43.5;33.1;53.9;29.9
2012 Sep;38.7;50.1;42.5;38.0;43.5;35.4;51.0;33.6
2012 Oct;38.6;50.4;42.0;38.1;46.1;34.2;45.7;33.7
2012 Nov;38.5;52.1;40.3;38.1;38.0;35.1;49.7;34.2
2012 Dec;42.2;51.7;44.5;40.5;48.6;31.6;52.2;38.4
2013 Jan;41.8;55.2;42.2;43.3;43.4;30.7;48.4;38.4
2013 Feb;42.6;54.2;44.2;41.9;46.0;31.5;53.6;38.9
2013 Mar;44.3;55.3;46.9;41.7;50.3;36.4;55.2;39.9
2013 Apr;43.1;53.6;46.3;41.9;47.6;34.3;58.0;38.6
2013 May;43.5;55.2;46.6;42.7;47.1;33.8;59.5;38.7
2013 Jun;43.8;55.2;46.3;47.7;47.8;34.3;52.0;39.6
2013 Jul;44.0;57.2;46.6;47.6;47.9;31.7;55.4;39.2
2013 Aug;45.0;55.8;47.3;48.1;46.1;34.1;58.3;41.0
2013 Sep;45.7;57.2;49.5;50.4;52.4;33.4;57.1;40.6
2013 Oct;45.7;58.1;48.1;51.5;47.8;32.1;57.8;41.2
2013 Nov;45.5;58.2;47.4;50.1;48.7;33.0;54.4;41.3
2013 Dec;45.5;58.1;48.9;52.8;50.4;32.7;55.6;40.4
2014 Jan;45.8;58.5;48.9;47.7;51.2;36.3;56.5;40.8
2014 Feb;48.2;62.0;48.1;49.7;52.7;25.7;57.4;45.1
2014 Mar;48.4;61.9;49.6;49.8;53.6;33.5;56.1;44.6
2014 Apr;49.5;62.2;50.2;53.3;53.4;35.2;54.2;46.1
2014 May;50.5;62.4;51.0;50.9;57.9;36.0;52.9;47.4
2014 Jun;50.1;63.2;51.9;50.6;57.8;36.9;56.0;46.0
2014 Jul;50.4;63.3;52.3;51.7;58.1;38.1;55.4;46.1
2014 Aug;51.3;63.0;54.4;56.3;62.2;39.8;52.5;46.6
2014 Sep;50.3;65.1;52.4;51.9;60.5;37.7;52.6;45.6
2014 Oct;51.4;65.0;52.7;53.2;56.6;41.9;55.2;47.4
2014 Nov;52.1;64.8;53.1;56.8;57.6;36.2;56.5;48.4
2014 Dec;53.6;61.4;55.1;55.8;60.2;41.2;57.9;50.8
2015 Jan;53.6;67.2;54.4;52.9;58.9;42.6;58.3;50.0
2015 Feb;53.8;67.0;54.9;54.9;57.9;41.7;60.6;50.1
2015 Mar;54.4;69.0;55.1;56.4;58.5;42.9;58.4;50.6
2015 Apr;56.0;66.6;55.6;55.9;62.4;43.0;55.4;53.9
2015 May;54.7;68.4;55.7;58.4;59.2;44.1;57.1;50.9
2015 Jun;56.6;70.5;57.4;60.0;67.4;44.5;50.8;52.8
2015 Jul;56.9;70.5;56.1;60.3;61.8;46.6;51.3;54.3
2015 Aug;55.6;73.1;58.6;60.9;69.5;45.1;51.3;49.7
2015 Sep;57.6;72.7;59.4;63.9;66.3;48.5;53.6;53.1
2015 Oct;57.5;70.2;60.0;65.5;65.9;49.3;54.8;53.0
2015 Nov;59.7;71.1;63.2;72.9;67.4;53.2;56.0;54.7
2015 Dec;60.4;78.2;62.0;69.5;66.3;57.1;52.6;55.2
2016 Jan;62.3;75.2;62.2;68.0;65.1;58.3;55.5;59.4
2016 Feb;61.3;73.3;62.3;66.9;65.5;57.2;57.2;58.0
2016 Mar;61.6;73.8;61.7;67.1;61.0;60.3;58.7;58.8
2016 Apr;64.2;75.5;65.7;70.9;65.2;63.2;63.5;60.6
2016 May;65.8;81.5;65.2;72.6;67.1;64.0;56.3;62.7
2016 Jun;66.6;80.8;67.3;69.3;66.7;65.2;67.8;62.9
2016 Jul;67.5;81.0;67.7;72.1;67.9;66.0;64.8;64.2
2016 Aug;69.3;81.6;69.9;70.9;68.1;70.6;71.0;66.1
2016 Sep;73.0;84.8;70.2;76.1;66.0;69.0;71.8;72.2
2016 Oct;75.5;88.1;73.4;78.8;71.1;71.7;73.0;74.1
2016 Nov;76.9;90.9;75.4;85.6;73.2;71.5;72.1;74.7
2016 Dec;75.7;90.7;72.6;78.7;71.7;70.0;70.1;74.4
2017 Jan;73.1;88.5;72.7;79.3;73.9;67.7;68.9;69.9
2017 Feb;74.9;84.9;74.3;79.3;76.0;71.5;69.5;73.0
2017 Mar;75.9;89.1;75.1;77.4;77.1;74.1;70.8;73.5
2017 Apr;77.3;90.7;74.2;76.1;71.6;74.4;75.9;76.4
2017 May;76.0;88.0;74.2;76.5;76.3;73.0;69.7;74.4
2017 Jun;78.5;89.9;76.5;80.4;77.7;75.3;71.9;77.2
2017 Jul;79.5;92.5;80.3;78.5;80.6;77.1;84.2;76.0
2017 Aug;81.2;94.8;81.3;83.8;83.6;76.2;79.7;78.1
2017 Sep;82.5;95.0;81.4;87.7;82.6;78.0;76.5;80.4
2017 Oct;82.0;96.5;80.6;80.4;84.8;76.9;77.7;79.6
2017 Nov;83.9;98.0;84.9;85.1;83.6;83.6;87.6;80.1
2017 Dec;85.8;98.7;86.2;87.9;86.5;79.0;89.6;82.6
2018 Jan;83.5;94.2;86.6;95.4;88.1;83.0;79.0;78.9
2018 Feb;86.0;98.5;85.9;96.2;84.1;86.4;78.7;83.1
2018 Mar;88.3;98.7;90.8;102.5;87.6;92.5;83.0;84.3
2018 Apr;87.6;100.5;88.1;96.3;89.1;82.8;83.3;84.2
2018 May;91.8;103.7;92.6;100.3;95.5;84.5;87.7;88.5
2018 Jun;90.6;103.3;93.1;101.5;92.0;87.0;91.5;86.1
2018 Jul;91.9;102.1;94.0;103.2;93.7;89.8;89.0;88.1
2018 Aug;92.9;100.6;95.7;105.6;94.0;99.4;85.9;89.4
2018 Sep;92.6;98.4;95.6;95.5;98.0;98.1;90.1;89.3
2018 Oct;93.0;100.3;96.1;91.4;96.0;101.3;96.5;89.2
2018 Nov;95.0;101.7;96.6;98.5;98.2;98.4;91.2;92.4
2018 Dec;95.3;101.5;96.8;98.9;97.6;99.3;91.8;92.8
2019 Jan;95.1;97.2;95.9;102.0;97.3;93.6;89.9;94.1
2019 Feb;97.3;98.6;98.4;103.4;91.7;95.7;105.6;96.2
2019 Mar;100.5;96.9;98.5;105.9;96.8;89.8;100.7;102.7
2019 Apr;99.5;101.4;100.3;105.3;101.2;92.1;100.6;98.6
2019 May;99.5;99.4;99.0;105.1;100.4;94.6;94.9;99.9
2019 Jun;97.4;97.2;102.9;106.9;106.6;98.3;97.5;93.8
2019 Jul;104.4;101.9;104.0;102.7;105.0;97.1;108.9;105.1
2019 Aug;103.4;108.4;101.0;101.4;101.3;99.1;101.6;103.8
2019 Sep;100.9;105.8;98.7;91.6;103.3;108.1;91.5;101.3
2019 Oct;101.1;102.2;100.5;91.7;100.9;113.6;98.0;101.3
2019 Nov;98.5;99.6;95.2;84.2;97.3;101.0;98.1;100.5
2019 Dec;102.1;93.2;104.5;99.0;97.3;114.5;112.1;102.5
2020 Jan;101.7;95.6;100.1;95.1;100.9;96.0;107.0;104.0
2020 Feb;103.1;96.4;104.6;96.2;108.4;100.9;109.8;103.6
2020 Mar;114.7;112.3;120.0;147.5;95.4;138.9;115.0;111.6
2020 Apr;133.9;183.4;139.3;163.8;85.0;192.8;152.9;119.0
2020 May;160.5;222.3;164.0;166.9;104.2;218.1;205.4;144.1
2020 Jun;172.0;220.1;191.5;218.2;146.3;219.2;210.1;148.0
2020 Jul;162.5;209.0;173.0;169.6;133.7;185.0;223.7;144.9
2020 Aug;161.3;206.9;171.7;173.1;138.7;193.9;200.9;144.0
2020 Sep;158.7;202.6;167.9;180.0;135.3;181.4;193.1;142.6
2020 Oct;168.0;206.0;176.8;180.6;142.2;202.2;203.5;153.5
2020 Nov;175.8;210.6;200.7;203.3;153.9;234.6;239.5;151.1
2020 Dec;164.9;217.7;178.0;194.5;148.6;174.4;207.6;144.1
2021 Jan;181.1;233.6;193.8;169.9;144.8;238.3;252.4;160.6
2021 Feb;192.5;230.0;218.2;203.7;168.5;286.9;249.8;166.8
2021 Mar;191.4;224.8;217.1;209.4;169.8;274.2;247.9;166.7
2021 Apr;176.4;210.9;190.2;154.7;159.1;243.5;226.8;159.4
2021 May;166.6;205.5;175.4;155.0;147.7;223.6;197.1;151.8
2021 Jun;164.1;208.5;167.4;140.2;152.8;207.9;182.6;151.8
2021 Jul;162.4;208.5;165.6;148.8;151.2;195.2;179.3;149.8
2021 Aug;166.5;207.5;166.3;138.2;154.8;192.1;189.1;157.3
2021 Sep;167.5;206.4;165.2;140.6;150.8;185.5;193.0;160.2
2021 Oct;166.7;201.8;167.1;142.7;154.9;184.7;193.7;158.5
2021 Nov;164.1;196.2;160.8;139.2;148.3;177.6;186.2;159.0
2021 Dec;163.1;218.1;157.6;132.6;146.3;176.9;182.5;154.3
2022 Jan;162.0;179.9;158.7;128.7;141.9;170.8;201.6;160.2
2022 Feb;161.2;177.2;159.5;132.8;144.4;172.5;196.0;158.7
2022 Mar;153.2;179.3;155.8;132.0;142.8;178.6;179.0;145.6
2022 Apr;158.7;182.6;156.6;130.9;147.5;182.5;173.7;154.6
2022 May;153.3;180.2;155.7;124.9;149.0;180.5;175.0;145.6
2022 Jun;150.4;180.9;155.2;128.5;145.7;180.7;173.9;140.4
2022 Jul;154.0;183.5;155.8;128.3;148.7;182.0;171.6;146.1
2022 Aug;152.6;183.6;154.3;131.9;145.6;172.5;173.7;144.4
2022 Sep;155.1;183.9;156.4;135.5;146.7;167.9;180.9;147.8
2022 Oct;154.9;185.8;151.6;133.6;141.6;161.5;175.0;150.2
2022 Nov;155.9;186.7;151.9;139.1;143.9;168.7;162.3;151.5
